SEASON_ID,TEAM_ID,GAME_ID,GAME_DATE,HOME,OPPONENT,TARGET,WL_5_x,MIN_5_x,PTS_5_x,FGM_5_x,FGA_5_x,FG_PCT_5_x,FG3M_5_x,FG3A_5_x,FG3_PCT_5_x,FTM_5_x,FTA_5_x,FT_PCT_5_x,OREB_5_x,DREB_5_x,REB_5_x,AST_5_x,STL_5_x,BLK_5_x,TOV_5_x,PF_5_x,PLUS_MINUS_5_x,HOME_5_x,AWAY_5_x,HOME_NEXT_x,WL_5_y,MIN_5_y,PTS_5_y,FGM_5_y,FGA_5_y,FG_PCT_5_y,FG3M_5_y,FG3A_5_y,FG3_PCT_5_y,FTM_5_y,FTA_5_y,FT_PCT_5_y,OREB_5_y,DREB_5_y,REB_5_y,AST_5_y,STL_5_y,BLK_5_y,TOV_5_y,PF_5_y,PLUS_MINUS_5_y,HOME_5_y,AWAY_5_y
22021,1610612760,22100061,27-10-2021,1,1610612747,0,0.2,240.2,100.2,37.4,87.6,0.4286,11.2,36,0.3084,14.2,19.8,0.7092,9.6,33.4,43,21,7.4,3.2,14.4,17.4,-13.2,0.6,0.4,0,0.8,245.2,112.4,41,89.2,0.461,14,37.4,0.3788,16.4,21.2,0.766,9.4,38.6,48,28.4,8.6,4.8,16.2,17.6,4.2,0.4,0.6
22021,1610612749,22100060,27-10-2021,1,1610612750,0,0.6,239.4,114,40.8,90.4,0.4522,13.8,41,0.3424,18.6,24.2,0.7704,9,35.2,44.2,22.2,8.6,4.6,12.6,19.4,-0.8,0.4,0.6,1,0.2,244.2,110,44.8,95.4,0.4696,10.8,31.8,0.34,9.6,15,0.6718,11.4,34,45.4,27.8,9,5.2,13.8,19,0.2,0.6,0.4
22021,1610612751,22100057,27-10-2021,1,1610612748,1,0.4,240,102,37.8,87.6,0.4314,12.4,36.6,0.3432,14,18,0.7968,7.2,39,46.2,21.4,6.4,6.8,13,19,-6.6,0.6,0.4,1,0.2,250,113.4,42,90.6,0.464,13.2,37,0.3586,16.2,19.8,0.8186,10,37,47,23.4,5.8,5.8,17,21.4,-4.2,0.4,0.6
22021,1610612754,22100058,27-10-2021,0,1610612761,0,0.2,250,113.4,42,90.6,0.464,13.2,37,0.3586,16.2,19.8,0.8186,10,37,47,23.4,5.8,5.8,17,21.4,-4.2,0.4,0.6,0,0.4,240,102,37.8,87.6,0.4314,12.4,36.6,0.3432,14,18,0.7968,7.2,39,46.2,21.4,6.4,6.8,13,19,-6.6,0.6,0.4
22021,1610612753,22100055,27-10-2021,1,1610612766,0,0.2,240.2,100.8,36,85.2,0.422,13,39.8,0.3264,15.8,20.8,0.7632,9.2,34.6,43.8,21.2,6.2,4.2,16.2,21.2,-14.2,0.4,0.6,0,0.4,240.2,103.8,38.4,93,0.4142,10.8,33.2,0.3312,16.2,21,0.771,16,34.2,50.2,20.4,11.8,3.8,14.2,19,4.8,0.8,0.2
22021,1610612761,22100058,27-10-2021,1,1610612754,1,0.4,240.2,103.8,38.4,93,0.4142,10.8,33.2,0.3312,16.2,21,0.771,16,34.2,50.2,20.4,11.8,3.8,14.2,19,4.8,0.8,0.2,1,0.2,240.2,100.8,36,85.2,0.422,13,39.8,0.3264,15.8,20.8,0.7632,9.2,34.6,43.8,21.2,6.2,4.2,16.2,21.2,-14.2,0.4,0.6
22021,1610612738,22100056,27-10-2021,1,1610612764,0,0.4,254.8,114.2,41,94.2,0.4344,15.2,43.4,0.3472,17,21.4,0.7854,10.4,35.8,46.2,25.2,9.2,8.2,15.8,21.8,-4.8,0.4,0.6,0,0.8,245.4,112.2,41.4,90.6,0.4578,11,32.6,0.3316,18.4,23,0.8078,9.6,38.4,48,20.8,7.6,6,12.6,18.2,4.4,0.4,0.6
22021,1610612747,22100061,27-10-2021,0,1610612760,1,0.4,245.8,116,44,92.4,0.4762,13,34.2,0.3824,15,21.2,0.709,9,35.6,44.6,24.8,8,6.2,16,21.6,-3.6,0.6,0.4,1,0.6,240.6,105,39.6,85.8,0.4606,8,28.4,0.2676,17.8,22.4,0.793,10.2,36.2,46.4,25,7.6,4.4,14.4,16,1.8,0.4,0.6
22021,1610612739,22100064,27-10-2021,0,1610612746,0,0.6,240.6,105,39.6,85.8,0.4606,8,28.4,0.2676,17.8,22.4,0.793,10.2,36.2,46.4,25,7.6,4.4,14.4,16,1.8,0.4,0.6,0,0.4,245.8,116,44,92.4,0.4762,13,34.2,0.3824,15,21.2,0.709,9,35.6,44.6,24.8,8,6.2,16,21.6,-3.6,0.6,0.4
22021,1610612763,22100070,28-10-2021,0,1610612744,0,0.6,246.2,114,42.8,96.6,0.4428,14.2,40.4,0.3604,14.2,17.6,0.8294,15,35.2,50.2,26.2,10.4,5.4,15.2,18.6,-0.6,0.2,0.8,1,0.8,245,111,41.6,92.2,0.4512,9.4,31.8,0.2914,18.4,21.8,0.8696,12.6,42.8,55.4,23.6,6.8,2.2,14.8,21.8,15.2,0.6,0.4
22021,1610612744,22100070,28-10-2021,1,1610612763,1,0.8,245.2,112.4,41,89.2,0.461,14,37.4,0.3788,16.4,21.2,0.766,9.4,38.6,48,28.4,8.6,4.8,16.2,17.6,4.2,0.4,0.6,1,0.2,240.2,100.2,37.4,87.6,0.4286,11.2,36,0.3084,14.2,19.8,0.7092,9.6,33.4,43,21,7.4,3.2,14.4,17.4,-13.2,0.6,0.4
22021,1610612755,22100065,28-10-2021,1,1610612765,1,0.6,239.4,110,40.4,84.4,0.4792,13.6,34,0.4122,15.6,18.4,0.8434,8.2,34.8,43,22.4,7.4,7.2,13.2,17.2,4.4,0.4,0.6,1,0.6,240.4,108.6,43.4,93.4,0.4672,10.2,30.4,0.3302,11.6,15.2,0.7626,12,39.2,51.2,24.4,6.4,4.4,11.8,17.6,6,0.4,0.6
22021,1610612752,22100067,28-10-2021,0,1610612741,1,0.8,249.2,115.8,42.4,93,0.4572,16.2,42.6,0.3808,14.8,20.8,0.7192,10.6,37.2,47.8,24.2,7.8,6.8,13,20.2,7.4,0.6,0.4,0,0.2,239.8,103.2,38.8,90.8,0.4276,10.8,33.8,0.3292,14.8,19.2,0.7902,13.4,37.8,51.2,20.4,7.2,5.4,16,20.6,-4.2,0.4,0.6
22021,1610612745,22100068,28-10-2021,1,1610612762,0,0.2,239.8,104.8,37.4,87.8,0.4264,13.4,37.2,0.3666,16.6,21.8,0.7644,10.2,34.8,45,21.8,9.4,4.6,17.4,21.6,-7.2,0.6,0.4,0,0.6,245.6,115.8,44.2,90.2,0.491,12.4,31.2,0.3998,15,19.4,0.7942,10.2,33.8,44,25.4,8.4,6.6,16.6,20.6,0.2,0.6,0.4
22021,1610612737,22100066,28-10-2021,0,1610612764,0,0.6,240.4,108.6,43.4,93.4,0.4672,10.2,30.4,0.3302,11.6,15.2,0.7626,12,39.2,51.2,24.4,6.4,4.4,11.8,17.6,6,0.4,0.6,0,0.6,239.4,110,40.4,84.4,0.4792,13.6,34,0.4122,15.6,18.4,0.8434,8.2,34.8,43,22.4,7.4,7.2,13.2,17.2,4.4,0.4,0.6
22021,1610612759,22100069,28-10-2021,0,1610612742,1,0.2,244.2,110,44.8,95.4,0.4696,10.8,31.8,0.34,9.6,15,0.6718,11.4,34,45.4,27.8,9,5.2,13.8,19,0.2,0.6,0.4,0,0.6,239.4,114,40.8,90.4,0.4522,13.8,41,0.3424,18.6,24.2,0.7704,9,35.2,44.2,22.2,8.6,4.6,12.6,19.4,-0.8,0.4,0.6
22021,1610612764,22100066,28-10-2021,1,1610612737,1,0.8,245.4,112.2,41.4,90.6,0.4578,11,32.6,0.3316,18.4,23,0.8078,9.6,38.4,48,20.8,7.6,6,12.6,18.2,4.4,0.4,0.6,1,0.4,254.8,114.2,41,94.2,0.4344,15.2,43.4,0.3472,17,21.4,0.7854,10.4,35.8,46.2,25.2,9.2,8.2,15.8,21.8,-4.8,0.4,0.6
22021,1610612751,22100072,29-10-2021,1,1610612754,1,0.6,240,102.2,37.2,86,0.4328,10.2,35.4,0.2832,17.6,21.6,0.835,8.2,39.2,47.4,21.6,7.6,6.2,14.2,19.8,-0.6,0.8,0.2,1,0.2,239.4,97.2,36.2,88.8,0.4074,9.4,34.2,0.265,15.4,20.6,0.7412,12,32.2,44.2,21,9.2,5.8,15,17.6,-8,0.4,0.6
22021,1610612740,22100074,29-10-2021,1,1610612758,0,0.2,239.8,103.2,38.8,90.8,0.4276,10.8,33.8,0.3292,14.8,19.2,0.7902,13.4,37.8,51.2,20.4,7.2,5.4,16,20.6,-4.2,0.4,0.6,1,0.8,249.2,115.8,42.4,93,0.4572,16.2,42.6,0.3808,14.8,20.8,0.7192,10.6,37.2,47.8,24.2,7.8,6.8,13,20.2,7.4,0.6,0.4
22021,1610612757,22100076,29-10-2021,1,1610612746,0,0.6,238.8,113.6,41.6,90.8,0.457,15,39.8,0.3718,15.4,20.8,0.7312,10.6,40.4,51,21.4,8.6,5.2,15.6,18.8,7,0.8,0.2,0,0.6,245,116.4,43,92.2,0.4676,13.8,34.6,0.3978,16.6,22,0.7632,11.2,33.4,44.6,25.4,9.8,4.4,14.2,17.8,2,0.2,0.8
22021,1610612754,22100072,29-10-2021,0,1610612751,0,0.2,250.2,108.6,41,91.2,0.4502,11.4,33.4,0.3414,15.2,19.6,0.7828,10.6,35.4,46,21.6,7.2,5.2,16.6,22,-5.4,0.4,0.6,1,0.6,240.4,109.2,41,90.8,0.4524,11.2,32.4,0.35,16,21,0.762,14,33.4,47.4,21.2,12,3.4,11.8,18.4,8,0.8,0.2
22021,1610612766,22100073,29-10-2021,0,1610612748,1,0.6,245,116.4,43,92.2,0.4676,13.8,34.6,0.3978,16.6,22,0.7632,11.2,33.4,44.6,25.4,9.8,4.4,14.2,17.8,2,0.2,0.8,1,0.6,238.8,113.6,41.6,90.8,0.457,15,39.8,0.3718,15.4,20.8,0.7312,10.6,40.4,51,21.4,8.6,5.2,15.6,18.8,7,0.8,0.2
22021,1610612747,22100077,29-10-2021,1,1610612739,1,0.6,245.6,115.8,44.2,90.2,0.491,12.4,31.2,0.3998,15,19.4,0.7942,10.2,33.8,44,25.4,8.4,6.6,16.6,20.6,0.2,0.6,0.4,1,0.2,239.8,104.8,37.4,87.8,0.4264,13.4,37.2,0.3666,16.6,21.8,0.7644,10.2,34.8,45,21.8,9.4,4.6,17.4,21.6,-7.2,0.6,0.4
22021,1610612758,22100074,29-10-2021,0,1610612740,0,0.6,240.2,111,41,90.4,0.4562,12.8,37.6,0.3382,16.2,20.6,0.763,8.8,36.6,45.4,23.4,6.4,4.8,13.8,20,-2.2,0.4,0.6,0,0.6,239.8,97,35.2,88.8,0.3938,13,42,0.306,13.6,19.2,0.6902,10.4,35.8,46.2,19.4,6.8,5.2,13,20.2,-6.8,0.4,0.6
22021,1610612748,22100073,29-10-2021,1,1610612766,1,0.8,245,111,41.6,92.2,0.4512,9.4,31.8,0.2914,18.4,21.8,0.8696,12.6,42.8,55.4,23.6,6.8,2.2,14.8,21.8,15.2,0.6,0.4,0,0.6,246.2,114,42.8,96.6,0.4428,14.2,40.4,0.3604,14.2,17.6,0.8294,15,35.2,50.2,26.2,10.4,5.4,15.2,18.6,-0.6,0.2,0.8
22021,1610612742,22100075,29-10-2021,0,1610612743,1,0.6,239.8,97,35.2,88.8,0.3938,13,42,0.306,13.6,19.2,0.6902,10.4,35.8,46.2,19.4,6.8,5.2,13,20.2,-6.8,0.4,0.6,1,0.6,240.2,111,41,90.4,0.4562,12.8,37.6,0.3382,16.2,20.6,0.763,8.8,36.6,45.4,23.4,6.4,4.8,13.8,20,-2.2,0.4,0.6
22021,1610612761,22100071,29-10-2021,1,1610612753,1,0.6,240.4,109.2,41,90.8,0.4524,11.2,32.4,0.35,16,21,0.762,14,33.4,47.4,21.2,12,3.4,11.8,18.4,8,0.8,0.2,0,0.2,250.2,108.6,41,91.2,0.4502,11.4,33.4,0.3414,15.2,19.6,0.7828,10.6,35.4,46,21.6,7.2,5.2,16.6,22,-5.4,0.4,0.6
22021,1610612746,22100076,29-10-2021,0,1610612757,1,0.2,240,102.8,38.8,92.4,0.4184,13,41,0.3172,12.2,17.2,0.7022,8.4,32.6,41,24,11.4,3.8,11.4,21.4,-1,0.6,0.4,1,0.2,240,99.4,36.4,86,0.4236,11.4,36.8,0.3094,15.2,20.4,0.7394,7.2,34.8,42,20,8.2,4,14.6,16,-13.2,0.6,0.4
22021,1610612737,22100082,30-10-2021,0,1610612755,1,0.4,239.8,104.8,41.6,93.6,0.4472,8.8,27.8,0.3172,12.8,17.2,0.7322,14.8,35.2,50,23,6,2.8,13,17.8,-4.8,0.2,0.8,1,0.8,255.4,115.6,41.8,95.2,0.442,12,34.4,0.3502,20,25,0.8074,10.6,39.6,50.2,20.6,6,5.8,11,19.2,2,0.6,0.4
22021,1610612759,22100085,30-10-2021,0,1610612749,0,0.2,244.4,105.8,42.8,94.8,0.4518,9.6,32,0.2986,10.6,16.2,0.68,10.4,36.2,46.6,27,9.8,5.2,14,17.2,-3.2,0.4,0.6,0,0.2,245.2,100.6,37.6,88,0.4294,11,35.2,0.3136,14.4,18.8,0.7704,10.8,34.8,45.6,21,7.8,6,18,21,-5.8,0.6,0.4
22021,1610612753,22100079,30-10-2021,0,1610612765,1,0.2,240.2,104.6,38.2,86.2,0.4426,14.2,38.6,0.3796,14,19.4,0.7174,9.6,34.6,44.2,22,5.2,4.6,16.2,22.6,-5.6,0.2,0.8,0,0.6,240.2,104.4,38,90.6,0.4198,13.8,42.4,0.3286,14.6,18.8,0.773,12.4,33.4,45.8,23.6,10.8,7.4,17,21.8,3.8,0.8,0.2
22021,1610612743,22100087,30-10-2021,0,1610612750,0,0.6,240.6,99.6,40,85.2,0.4704,9.6,33.8,0.2886,10,14.6,0.6802,8.6,35.8,44.4,23.6,9.6,4.2,18.4,21,3,0.6,0.4,0,0.4,246,108.2,39,94.2,0.414,14.6,43.8,0.3396,15.6,19.4,0.8104,14,32,46,25.8,11.6,5.2,16,19,-8,0.2,0.8
22021,1610612764,22100078,30-10-2021,1,1610612738,0,0.8,255.4,115.6,41.8,95.2,0.442,12,34.4,0.3502,20,25,0.8074,10.6,39.6,50.2,20.6,6,5.8,11,19.2,2,0.6,0.4,0,0.4,239.8,104.8,41.6,93.6,0.4472,8.8,27.8,0.3172,12.8,17.2,0.7322,14.8,35.2,50,23,6,2.8,13,17.8,-4.8,0.2,0.8
22021,1610612752,22100080,30-10-2021,0,1610612740,0,0.8,239.6,112.8,40.6,88.2,0.4638,16.6,40.2,0.4204,15,20.4,0.7384,10.2,34,44.2,23.2,7.4,5.6,12,20,7.8,0.4,0.6,1,0.6,240.4,105.6,40.4,89.2,0.4532,11.4,31.8,0.3616,13.4,19.2,0.6954,12.2,32.8,45,20.4,10.4,3.8,12.6,19.2,2.2,0.8,0.2
22021,1610612754,22100081,30-10-2021,1,1610612761,1,0.2,245.2,100.6,37.6,88,0.4294,11,35.2,0.3136,14.4,18.8,0.7704,10.8,34.8,45.6,21,7.8,6,18,21,-5.8,0.6,0.4,1,0.2,244.4,105.8,42.8,94.8,0.4518,9.6,32,0.2986,10.6,16.2,0.68,10.4,36.2,46.6,27,9.8,5.2,14,17.2,-3.2,0.4,0.6
22021,1610612755,22100082,30-10-2021,1,1610612737,1,0.6,239.4,111,40.8,84.6,0.4826,13.4,36.6,0.3714,16,18.2,0.8728,8,33,41,22.4,7.8,7.4,13.2,19.8,6,0.6,0.4,1,0.6,238.8,112,41.2,91.6,0.4488,16,43.6,0.3662,13.6,18.6,0.7402,11.8,38.8,50.6,22.4,8.4,5.2,15.6,18,5.2,0.6,0.4
22021,1610612762,22100083,30-10-2021,0,1610612741,1,0.8,240,112,39.4,88.6,0.4462,13.8,42.4,0.3248,19.4,23.2,0.8486,11.4,40,51.4,18.6,7.6,5,15.2,20.4,13,0.4,0.6,0,0.4,239.8,107.2,38.4,87.2,0.4416,12.4,39.8,0.318,18,23.8,0.7524,8.2,35.6,43.8,21.2,8.2,3.2,15,19.2,-7.2,0.4,0.6
22021,1610612740,22100080,30-10-2021,1,1610612752,0,0.2,239.8,104.2,38.8,91.8,0.4224,10,34.6,0.2924,16.6,20.8,0.811,14,37.4,51.4,21.2,7.2,5,15,21.4,-2.2,0.6,0.4,0,0.4,240.6,105.2,40.4,87.8,0.4602,9,29,0.3032,15.4,22.2,0.6922,9.4,38.2,47.6,26.2,8.2,3,13.4,17.8,-5,0.6,0.4
22021,1610612749,22100085,30-10-2021,1,1610612759,0,0.4,239.8,107.2,38.4,87.2,0.4416,12.4,39.8,0.318,18,23.8,0.7524,8.2,35.6,43.8,21.2,8.2,3.2,15,19.2,-7.2,0.4,0.6,1,0.8,240,112,39.4,88.6,0.4462,13.8,42.4,0.3248,19.4,23.2,0.8486,11.4,40,51.4,18.6,7.6,5,15.2,20.4,13,0.4,0.6
22021,1610612760,22100086,30-10-2021,0,1610612744,0,0.2,240,99.4,36.4,86,0.4236,11.4,36.8,0.3094,15.2,20.4,0.7394,7.2,34.8,42,20,8.2,4,14.6,16,-13.2,0.6,0.4,0,0.2,240,102.8,38.8,92.4,0.4184,13,41,0.3172,12.2,17.2,0.7022,8.4,32.6,41,24,11.4,3.8,11.4,21.4,-1,0.6,0.4
22021,1610612738,22100078,30-10-2021,0,1610612764,0,0.4,254.8,109.8,40.2,92.2,0.4346,11.4,37.2,0.289,18,21.8,0.8136,9,36.8,45.8,23,8.2,8.4,14.4,23.4,-4.6,0.4,0.6,1,0.8,239.8,109.2,39.2,85.8,0.4568,10.6,26.8,0.3898,20.2,23.6,0.8612,6.6,33.2,39.8,24.2,9.4,6.2,11,16.8,8.2,0.8,0.2
22021,1610612761,22100081,30-10-2021,0,1610612754,1,0.6,240.4,105.6,40.4,89.2,0.4532,11.4,31.8,0.3616,13.4,19.2,0.6954,12.2,32.8,45,20.4,10.4,3.8,12.6,19.2,2.2,0.8,0.2,0,0.8,239.6,112.8,40.6,88.2,0.4638,16.6,40.2,0.4204,15,20.4,0.7384,10.2,34,44.2,23.2,7.4,5.6,12,20,7.8,0.4,0.6
22021,1610612744,22100086,30-10-2021,1,1610612760,1,0.8,245,108.8,40.6,89,0.4576,15.4,40.4,0.3848,12.2,16.8,0.6994,9.6,39.6,49.2,28.4,8.6,6,15.8,18.2,7,0.6,0.4,1,0.4,244.6,116.6,42.4,93.2,0.4574,16.2,38.4,0.4222,15.6,22,0.711,13,30.8,43.8,26.4,8.4,6.8,13.2,19.4,-1.6,0.6,0.4
22021,1610612748,22100084,30-10-2021,0,1610612763,1,0.8,245.4,109.4,40.6,90.6,0.4496,10.6,32.2,0.3192,17.6,19.4,0.909,12.6,41.2,53.8,24.2,7.6,2.2,16.2,20,12,0.4,0.6,0,0.8,239.8,100.6,37,88.2,0.416,12.8,40.8,0.3104,13.8,20.6,0.6356,10.4,34.8,45.2,21,7,5.4,11.8,20,-0.4,0.6,0.4
