,SEASON_ID,TEAM_ID,GAME_ID,GAME_DATE,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,HOME,AWAY,OPPONENT,TARGET,SEASON_ID_5_x,TEAM_ID_5_x,WL_5_x,MIN_5_x,PTS_5_x,FGM_5_x,FGA_5_x,FG_PCT_5_x,FG3M_5_x,FG3A_5_x,FG3_PCT_5_x,FTM_5_x,FTA_5_x,FT_PCT_5_x,OREB_5_x,DREB_5_x,REB_5_x,AST_5_x,STL_5_x,BLK_5_x,TOV_5_x,PF_5_x,PLUS_MINUS_5_x,HOME_5_x,AWAY_5_x,HOME_NEXT_x,OPPONENT_NEXT_x,GAME_DATE_NEXT,SEASON_ID_5_y,TEAM_ID_5_y,WL_5_y,MIN_5_y,PTS_5_y,FGM_5_y,FGA_5_y,FG_PCT_5_y,FG3M_5_y,FG3A_5_y,FG3_PCT_5_y,FTM_5_y,FTA_5_y,FT_PCT_5_y,OREB_5_y,DREB_5_y,REB_5_y,AST_5_y,STL_5_y,BLK_5_y,TOV_5_y,PF_5_y,PLUS_MINUS_5_y,HOME_5_y,AWAY_5_y,HOME_NEXT_y,OPPONENT_NEXT_y
0,22021,1610612760,22100061,2021-10-27,1,239,123,43,86,0.5,15,37,0.405,22,29,0.759,10,32,42,21,8,3,15,16,8.0,1,0,1610612747,0.0,22021.0,1610612760.0,0.2,240.2,100.2,37.4,87.6,0.4286,11.2,36.0,0.3084,14.2,19.8,0.7091999999999999,9.6,33.4,43.0,21.0,7.4,3.2,14.4,17.4,-13.2,0.6,0.4,0.0,1610612744,2021-10-30,22021.0,1610612744.0,0.8,245.2,112.4,41.0,89.2,0.461,14.0,37.4,0.37879999999999997,16.4,21.2,0.766,9.4,38.6,48.0,28.4,8.6,4.8,16.2,17.6,4.2,0.4,0.6,1.0,1610612760
1,22021,1610612749,22100060,2021-10-27,0,239,108,39,95,0.411,14,51,0.275,16,21,0.762,13,30,43,22,10,3,8,18,-5.0,1,0,1610612750,0.0,22021.0,1610612749.0,0.6,239.4,114.0,40.8,90.4,0.45220000000000005,13.8,41.0,0.3424,18.6,24.2,0.7704,9.0,35.2,44.2,22.2,8.6,4.6,12.6,19.4,-0.8,0.4,0.6,1.0,1610612759,2021-10-30,22021.0,1610612759.0,0.2,244.2,110.0,44.8,95.4,0.46959999999999996,10.8,31.8,0.33999999999999997,9.6,15.0,0.6718,11.4,34.0,45.4,27.8,9.0,5.2,13.8,19.0,0.2,0.6,0.4,0.0,1610612749
2,22021,1610612751,22100057,2021-10-27,0,242,93,33,85,0.388,14,43,0.326,13,14,0.929,4,38,42,21,7,7,15,24,-13.0,1,0,1610612748,1.0,22021.0,1610612751.0,0.4,240.0,102.0,37.8,87.6,0.4314,12.4,36.6,0.3432,14.0,18.0,0.7968,7.2,39.0,46.2,21.4,6.4,6.8,13.0,19.0,-6.6,0.6,0.4,1.0,1610612754,2021-10-29,22021.0,1610612754.0,0.2,250.0,113.4,42.0,90.6,0.4640000000000001,13.2,37.0,0.3586,16.2,19.8,0.8186,10.0,37.0,47.0,23.4,5.8,5.8,17.0,21.4,-4.2,0.4,0.6,0.0,1610612751
3,22021,1610612754,22100058,2021-10-27,0,240,100,38,79,0.481,10,29,0.345,14,17,0.824,9,31,40,19,6,7,22,19,-18.0,0,1,1610612761,0.0,22021.0,1610612754.0,0.2,250.0,113.4,42.0,90.6,0.4640000000000001,13.2,37.0,0.3586,16.2,19.8,0.8186,10.0,37.0,47.0,23.4,5.8,5.8,17.0,21.4,-4.2,0.4,0.6,0.0,1610612751,2021-10-29,22021.0,1610612751.0,0.4,240.0,102.0,37.8,87.6,0.4314,12.4,36.6,0.3432,14.0,18.0,0.7968,7.2,39.0,46.2,21.4,6.4,6.8,13.0,19.0,-6.6,0.6,0.4,1.0,1610612754
4,22021,1610612753,22100055,2021-10-27,0,241,111,43,88,0.489,15,40,0.375,10,13,0.769,8,25,33,22,6,2,18,21,-9.0,1,0,1610612766,0.0,22021.0,1610612753.0,0.2,240.2,100.8,36.0,85.2,0.422,13.0,39.8,0.3264,15.8,20.8,0.7632,9.2,34.6,43.8,21.2,6.2,4.2,16.2,21.2,-14.2,0.4,0.6,0.0,1610612761,2021-10-29,22021.0,1610612761.0,0.4,240.2,103.8,38.4,93.0,0.4142,10.8,33.2,0.3312,16.2,21.0,0.771,16.0,34.2,50.2,20.4,11.8,3.8,14.2,19.0,4.8,0.8,0.2,1.0,1610612753
5,22021,1610612761,22100058,2021-10-27,1,240,118,46,100,0.46,14,30,0.467,12,19,0.632,16,25,41,22,18,6,10,20,18.0,1,0,1610612754,1.0,22021.0,1610612761.0,0.4,240.2,103.8,38.4,93.0,0.4142,10.8,33.2,0.3312,16.2,21.0,0.771,16.0,34.2,50.2,20.4,11.8,3.8,14.2,19.0,4.8,0.8,0.2,1.0,1610612753,2021-10-29,22021.0,1610612753.0,0.2,240.2,100.8,36.0,85.2,0.422,13.0,39.8,0.3264,15.8,20.8,0.7632,9.2,34.6,43.8,21.2,6.2,4.2,16.2,21.2,-14.2,0.4,0.6,0.0,1610612761
6,22021,1610612738,22100056,2021-10-27,0,239,107,37,85,0.435,10,29,0.345,23,28,0.821,10,27,37,18,9,5,13,21,-9.0,1,0,1610612764,0.0,22021.0,1610612738.0,0.4,254.8,114.2,41.0,94.2,0.4344,15.2,43.4,0.3472,17.0,21.4,0.7854,10.4,35.8,46.2,25.2,9.2,8.2,15.8,21.8,-4.8,0.4,0.6,0.0,1610612764,2021-10-30,22021.0,1610612764.0,0.8,245.4,112.2,41.4,90.6,0.45780000000000004,11.0,32.6,0.3316,18.4,23.0,0.8078,9.6,38.4,48.0,20.8,7.6,6.0,12.6,18.2,4.4,0.4,0.6,1.0,1610612738
7,22021,1610612747,22100061,2021-10-27,0,241,115,46,92,0.5,11,35,0.314,12,14,0.857,10,30,40,29,8,2,17,22,-8.0,0,1,1610612760,1.0,22021.0,1610612747.0,0.4,245.8,116.0,44.0,92.4,0.47620000000000007,13.0,34.2,0.38239999999999996,15.0,21.2,0.709,9.0,35.6,44.6,24.8,8.0,6.2,16.0,21.6,-3.6,0.6,0.4,1.0,1610612739,2021-10-29,22021.0,1610612739.0,0.6,240.6,105.0,39.6,85.8,0.4606,8.0,28.4,0.2676,17.8,22.4,0.7929999999999999,10.2,36.2,46.4,25.0,7.6,4.4,14.4,16.0,1.8,0.4,0.6,0.0,1610612747
8,22021,1610612739,22100064,2021-10-27,1,241,92,33,81,0.407,3,20,0.15,23,27,0.852,14,43,57,12,9,3,20,14,13.0,0,1,1610612746,0.0,22021.0,1610612739.0,0.6,240.6,105.0,39.6,85.8,0.4606,8.0,28.4,0.2676,17.8,22.4,0.7929999999999999,10.2,36.2,46.4,25.0,7.6,4.4,14.4,16.0,1.8,0.4,0.6,0.0,1610612747,2021-10-29,22021.0,1610612747.0,0.4,245.8,116.0,44.0,92.4,0.47620000000000007,13.0,34.2,0.38239999999999996,15.0,21.2,0.709,9.0,35.6,44.6,24.8,8.0,6.2,16.0,21.6,-3.6,0.6,0.4,1.0,1610612739
9,22021,1610612763,22100070,2021-10-28,1,265,104,39,97,0.402,12,48,0.25,14,14,1.0,10,41,51,25,17,9,17,14,3.0,0,1,1610612744,0.0,22021.0,1610612763.0,0.6,246.2,114.0,42.8,96.6,0.44279999999999997,14.2,40.4,0.3604,14.2,17.6,0.8294,15.0,35.2,50.2,26.2,10.4,5.4,15.2,18.6,-0.6,0.2,0.8,1.0,1610612748,2021-10-30,22021.0,1610612748.0,0.8,245.0,111.0,41.6,92.2,0.45120000000000005,9.4,31.8,0.2914,18.4,21.8,0.8695999999999999,12.6,42.8,55.4,23.6,6.8,2.2,14.8,21.8,15.2,0.6,0.4,0.0,1610612763
10,22021,1610612744,22100070,2021-10-28,0,266,101,39,90,0.433,14,40,0.35,9,12,0.75,7,41,48,29,8,7,22,17,-3.0,1,0,1610612763,1.0,22021.0,1610612744.0,0.8,245.2,112.4,41.0,89.2,0.461,14.0,37.4,0.37879999999999997,16.4,21.2,0.766,9.4,38.6,48.0,28.4,8.6,4.8,16.2,17.6,4.2,0.4,0.6,1.0,1610612760,2021-10-30,22021.0,1610612760.0,0.2,240.2,100.2,37.4,87.6,0.4286,11.2,36.0,0.3084,14.2,19.8,0.7091999999999999,9.6,33.4,43.0,21.0,7.4,3.2,14.4,17.4,-13.2,0.6,0.4,0.0,1610612744
11,22021,1610612755,22100065,2021-10-28,1,239,110,38,76,0.5,12,27,0.444,22,24,0.917,6,40,46,22,7,9,20,23,8.0,1,0,1610612765,1.0,22021.0,1610612755.0,0.6,239.4,110.0,40.4,84.4,0.47919999999999996,13.6,34.0,0.4122,15.6,18.4,0.8434000000000001,8.2,34.8,43.0,22.4,7.4,7.2,13.2,17.2,4.4,0.4,0.6,1.0,1610612737,2021-10-30,22021.0,1610612737.0,0.6,240.4,108.6,43.4,93.4,0.46720000000000006,10.2,30.4,0.3302,11.6,15.2,0.7626,12.0,39.2,51.2,24.4,6.4,4.4,11.8,17.6,6.0,0.4,0.6,0.0,1610612755
12,22021,1610612752,22100067,2021-10-28,1,240,104,39,85,0.459,11,29,0.379,15,20,0.75,11,38,49,16,5,7,13,21,1.0,0,1,1610612741,1.0,22021.0,1610612752.0,0.8,249.2,115.8,42.4,93.0,0.4572,16.2,42.6,0.38079999999999997,14.8,20.8,0.7192000000000001,10.6,37.2,47.8,24.2,7.8,6.8,13.0,20.2,7.4,0.6,0.4,0.0,1610612740,2021-10-30,22021.0,1610612740.0,0.2,239.8,103.2,38.8,90.8,0.4276,10.8,33.8,0.32920000000000005,14.8,19.2,0.7902,13.4,37.8,51.2,20.4,7.2,5.4,16.0,20.6,-4.2,0.4,0.6,1.0,1610612752
13,22021,1610612745,22100068,2021-10-28,0,239,91,31,95,0.326,9,44,0.205,20,23,0.87,13,28,41,15,8,3,11,24,-31.0,1,0,1610612762,0.0,22021.0,1610612745.0,0.2,239.8,104.8,37.4,87.8,0.4264,13.4,37.2,0.3666,16.6,21.8,0.7644,10.2,34.8,45.0,21.8,9.4,4.6,17.4,21.6,-7.2,0.6,0.4,0.0,1610612747,2021-10-31,22021.0,1610612747.0,0.6,245.6,115.8,44.2,90.2,0.491,12.4,31.2,0.39980000000000004,15.0,19.4,0.7942,10.2,33.8,44.0,25.4,8.4,6.6,16.6,20.6,0.2,0.6,0.4,1.0,1610612745
14,22021,1610612737,22100066,2021-10-28,0,241,111,48,88,0.545,6,21,0.286,9,14,0.643,6,37,43,26,4,3,13,16,-11.0,0,1,1610612764,0.0,22021.0,1610612737.0,0.6,240.4,108.6,43.4,93.4,0.46720000000000006,10.2,30.4,0.3302,11.6,15.2,0.7626,12.0,39.2,51.2,24.4,6.4,4.4,11.8,17.6,6.0,0.4,0.6,0.0,1610612755,2021-10-30,22021.0,1610612755.0,0.6,239.4,110.0,40.4,84.4,0.47919999999999996,13.6,34.0,0.4122,15.6,18.4,0.8434000000000001,8.2,34.8,43.0,22.4,7.4,7.2,13.2,17.2,4.4,0.4,0.6,1.0,1610612737
15,22021,1610612759,22100069,2021-10-28,0,240,99,39,88,0.443,12,30,0.4,9,15,0.6,11,37,48,21,6,11,14,16,-5.0,0,1,1610612742,1.0,22021.0,1610612759.0,0.2,244.2,110.0,44.8,95.4,0.46959999999999996,10.8,31.8,0.33999999999999997,9.6,15.0,0.6718,11.4,34.0,45.4,27.8,9.0,5.2,13.8,19.0,0.2,0.6,0.4,0.0,1610612749,2021-10-30,22021.0,1610612749.0,0.6,239.4,114.0,40.8,90.4,0.45220000000000005,13.8,41.0,0.3424,18.6,24.2,0.7704,9.0,35.2,44.2,22.2,8.6,4.6,12.6,19.4,-0.8,0.4,0.6,1.0,1610612759
16,22021,1610612764,22100066,2021-10-28,1,240,122,46,99,0.465,13,34,0.382,17,21,0.81,14,37,51,26,6,4,6,16,11.0,1,0,1610612737,1.0,22021.0,1610612764.0,0.8,245.4,112.2,41.4,90.6,0.45780000000000004,11.0,32.6,0.3316,18.4,23.0,0.8078,9.6,38.4,48.0,20.8,7.6,6.0,12.6,18.2,4.4,0.4,0.6,1.0,1610612738,2021-10-30,22021.0,1610612738.0,0.4,254.8,114.2,41.0,94.2,0.4344,15.2,43.4,0.3472,17.0,21.4,0.7854,10.4,35.8,46.2,25.2,9.2,8.2,15.8,21.8,-4.8,0.4,0.6,0.0,1610612764
17,22021,1610612751,22100072,2021-10-29,1,241,105,34,76,0.447,6,26,0.231,31,41,0.756,10,40,50,20,9,6,18,21,7.0,1,0,1610612754,1.0,22021.0,1610612751.0,0.6,240.0,102.2,37.2,86.0,0.4328,10.2,35.4,0.2832,17.6,21.6,0.835,8.2,39.2,47.4,21.6,7.6,6.2,14.2,19.8,-0.6,0.8,0.2,1.0,1610612765,2021-10-31,22021.0,1610612765.0,0.2,239.4,97.2,36.2,88.8,0.4074,9.4,34.2,0.265,15.4,20.6,0.7412,12.0,32.2,44.2,21.0,9.2,5.8,15.0,17.6,-8.0,0.4,0.6,0.0,1610612751
